tag,blog_name,post_url,num_likes,tags,num_replies,num_reblogs,content
bonespo,but-i-am-hell-bound,https://www.tumblr.com/blog/view/but-i-am-hell-bound/704373001578250240,25,"['legs', 'thinspo', 'bonespo', 'not pro', 'Ed', 'not pro for anyone but myself']",0,1,"but-i-am-hell-bound:my legs are finally starting to leg august                                     september10th december                     22nd december
it’s working, right? they’re getting smaller, right? "
bonespo,but-i-am-hell-bound,https://www.tumblr.com/blog/view/but-i-am-hell-bound/658331289018122240,51,"['ed', 'bed', 'ana', 'thinspo', 'bonespo', 'not pro']",1,8,"but-i-am-hell-bound:but-i-am-hell-bound:lose 7+ lbs in 19 days is a gothis is the goal:and the mission starts now 6lbs to go ladies 
4lbs to go "
bonespo,but-i-am-hell-bound,https://www.tumblr.com/blog/view/but-i-am-hell-bound/658070002622201856,51,"['bed', 'ed', 'ana', 'thinspo', 'bonespo']",1,8,"but-i-am-hell-bound:lose 7+ lbs in 19 days is a gothis is the goal:and the mission starts now 
6lbs to go ladies "
bonespo,lightandblueallforyou,https://www.tumblr.com/blog/view/lightandblueallforyou/693752592298328064,89,"['skinny', 'ana', 'malespo', 'boyspo', 'bonespo', 'ed']",0,8,itwillhurt000:Androgynous 
bonespo,xdropletmongrelx,https://www.tumblr.com/blog/view/xdropletmongrelx/699877510885801984,21211,['bonespo'],0,23,theocseason4:
bonespo,xdropletmongrelx,https://www.tumblr.com/blog/view/xdropletmongrelx/699044445267656704,99246,['bonespo'],0,20,
bonespo,xdropletmongrelx,https://www.tumblr.com/blog/view/xdropletmongrelx/697786545166516224,62852,['bonespo'],0,25,"ordinarytalk:
roach-works:
picsthatmakeyougohmm:
hmmm
he’s not done cooking

The skeleton army’s getting pretty aggressive with recruiting this year."
bonespo,xdropletmongrelx,https://www.tumblr.com/blog/view/xdropletmongrelx/647580341644738560,1,"['resolutions', 'books', 'reading', 'thinspo', 'bonespo', 'manga', 'Sadako at the End of the World', '終末の貞子さん', 'Shumatsu no Sadako-san']",0,1,"xdropletmongrelx:Me: *makes a resolution to read current books*Also Me: *buys more books*
💮 Finished! 💮「Sadako at the End of the World」 終末の貞子さんPlot Summary:The world has ended. Humanity isn’t completely destroyed but it is a shadow of its former glory. A pair of sisters are surviving together in the ruins when they discover an ancient relic: a video. The tape is none other than Sadako’s video that will curse anyone who watches it and kill them one week later. The girls are unfazed when Sadako appears since meeting another human is rare anyway. Instead, the little girls call her “Sada-chan.” Sadako, meanwhile, thinks if there are more people left, she’d like to curse them. So Sadako and the two girls begin travelling together to find more people."
bonespo,xdropletmongrelx,https://www.tumblr.com/blog/view/xdropletmongrelx/647249335981096960,64211,['bonespo'],0,18,"signorformica:
Pharaoh Ramses II’s Egyptian passport, issued in 1976 for passage to France nearly three millennia after his death.In order to leave the country, Egypt required anyone leaving the country, living or dead, to have the proper papers. Seemingly the first mummy to receive one, Ramses had his occupation listed as “King (deceased).” 

Bibliothèque Infernale on FB
Archaeology News"
bonespo,starving-for-collarbones,https://www.tumblr.com/blog/view/starving-for-collarbones/163751031225,6837,"['bonespo', 'thinspo', 'beautiful girls']",0,7,"heavenlythin:
✨"
bonespo,the-skinny-movement,https://the-skinny-movement.tumblr.com/post/690404308114653184,15,"['anorex', 'bone', 'anorexia', 'anorexic', 'bulimia', 'mia', 'ana', 'bulimic', 'orto', 'ortorex', 'ortorexia', 'ortorexic', 'extreme fasting', 'extreme thinspo', 'thinsporation', 'thinspiration', 'bones', 'bonespiration', 'hip bonespo', 'bonespo', 'phugs logs']",1,2,"the-skinny-movement:Starting my first fast in very long tonight !! Going from 11pm to 7pm if I can. Will post a timer screenshot tmrw, even if its disappointing. (07-20)
"
bonespo,the-skinny-movement,https://the-skinny-movement.tumblr.com/post/628457031575175168,186,"['thinspo', 'thinsporation', 'bonespo', 'bonesporation', 'hipbones', 'hip bonespo', 'hipspiration', 'hipspo', 'anorexia', 'ana', 'ana recipe', 'anorex', 'anorexic', 'anarexx', 'anorexx', 'bulimia', 'mia', 'bulimic', 'bulimist', 'bulimyc', 'ortorex', 'ortorexia', 'orto', 'skinny']",0,6,
bonespo,the-skinny-movement,https://the-skinny-movement.tumblr.com/post/628457022247092225,35,"['thinspo', 'thinspiration', 'thin', 'just ed things', 'model thin', 'thinsporation', 'thinsp0', 'tw ed things', 'hip bonespo', 'bonesp0', 'bonesporation', 'bonespiration', 'bonespo', 'collar bones', 'rib bones', 'ribspo', 'ribspiration', 'ribcage', 'ribs showing', 'ortorex', 'ortorexia', 'orto']",0,4,
bonespo,the-skinny-movement,https://the-skinny-movement.tumblr.com/post/620307014725369856/astralmuds-source,392,"['anorex', 'ana', 'anorexia', 'mia', 'bulimia', 'thinspo', 'thinspiration', 'waistsp0', 'waistspo', 'waistspiration', 'waistsporation', 'thinsp0', 'bonespo', 'bonesp0', 'bonespiration']",0,14,astralmuds:source
bonespo,the-skinny-movement,https://the-skinny-movement.tumblr.com/post/620306447032598528,1370,"['bonespo', 'bonespiration', 'bonesp0', 'thinspo', 'thinspiration', 'model thins', 'ribspo', 'ribs showing', 'ribspiration', 'ana', 'Anorex', 'mia', 'bulimia', 'ortorex', 'orto']",0,3,
