tag,blog_name,post_url,num_likes,tags,num_replies,num_reblogs,content
fatspo,mochiandcream,https://www.tumblr.com/blog/view/mochiandcream/698268964120379392,115,"['ana', 'ana coach', 'fatspo', 'tw ed diet', 'ed diet', 'ed fast', 'ed motivation', 'food log', 'ed bllog', 'bonespø', 'ed vent', 'f4sting', 'tw ana diary']",5,1,"little-miss-perfect-reprise:overworkedpotentialbonesspo:hey-azureee:Looking for an ana coach.Have to be 17+. Idc how much older but you can’t be younger. Sorry. If you are younger we can still be ana buddies :)Please be strict.Message me if interested!Remember: You’re loved 💞desperately need oneNeed.
I need one🥲"
fatspo,sourcedumal,https://sourcedumal.tumblr.com/post/701234269861953536/i-need-this-in-black-tysm-but-yes-yes-indeed,17182,"['fatspo', 'fuck yall its fat girl positive']",0,15,"docjargon:
I need this in Black. Tysm. But yes. Yes indeed "
fatspo,sourcedumal,https://sourcedumal.tumblr.com/post/159293636386/radicalmuscle-tai-mcqueen-rocky-balboa-steps,8507,"['tormans-space', 'source does fitness', 'plus size', 'fatspo']",0,13,"activelyhealing:

radicalmuscle:

Tai McQueen: Rocky Balboa Steps Workout
[Don’t delete the link please]

GOALS
"
fatspo,sourcedumal,https://sourcedumal.tumblr.com/post/158101078976/gettinglighter-athickgirlscloset-new-post-is,14438,['fatspo'],0,5,"fat-posi-for-black-women:
kickingthekilos:

gettinglighter:

athickgirlscloset:

New Post is up on the blog! Let’s get active with Lane Bryant. Whatever active means to YOU! Then do it!
Shop all looks on the blog http://wp.me/p8glqM-1Vy

Diversity 😍

This is what fitness related adverts should look like!!

Yes!!!

I’m so mad it’s not me in this images like bruh"
fatspo,sourcedumal,https://sourcedumal.tumblr.com/post/158079333926/lanebryant-what-inspires-you,26101,['fatspo'],0,13,
fatspo,sourcedumal,https://sourcedumal.tumblr.com/post/158057135156/fukkce-unicornsanddopestuff,62128,['fatspo'],0,3,
fatspo,sourcedumal,https://sourcedumal.tumblr.com/post/155014534051/new-body-positive-photoseries-aims-to-empower,18177,"['fatspo', 'fat positive', 'plus size', 'fatshion']",0,23,"fedupblackwoman:
I love how they’re being portrayed in various forms. Dainty and feminie, not dainty and feminine, carefree, etc… Hopefully we’ll continue to see illustrations like this for all types of black women. Including trans black women, disabled black women, and more…

 Helen Mozão‘s new photosereies, ‘GORDA FLOR ‘(Fat Flower), aims to empower and uplift the often marginalized plus-size black woman. The images are stunning. Take a look: 






http://blackgirllonghair.com/2016/04/new-body-positive-photoseries-aims-to-empower-plus-size-black-women/

THIS IS EVERYTHING"
fatspo,sourcedumal,https://sourcedumal.tumblr.com/post/150433478286/size-16-custom-made-by-thekingdomfashion,8016,['fatspo'],0,9,"bigbeautifulblackgirls:

size 16
custom made by @thekingdomfashion
Columbus ohio

YES"
fatspo,sourcedumal,https://sourcedumal.tumblr.com/post/146737844506/behold-the-naked-glory-of-vince-wilforks,56490,['fatspo'],0,10,"psl:

Houston Texans Defensive Tackle, Vince Wilfork for ESPN ‘Body Issue’ cover shoot
At 325 pounds, Vince Wilfork isn’t the traditional guy that would pose nude for a magazine — even one that celebrates athletes. But as he points out in the ESPN Magazine Body Issue video, released on Thursday; he has NOTHING to be ashamed of — even if there might be some mean comments about the photos.
“I’m pretty sure there’s going to be some ‘oh he obese’ and ‘he’s this’ and woot the woot. Oh well. I’m PROUD of who I am…” he said. “I’m PROUD of my body. People can talk about me all they want. I don’t care. I NEVER lose sleep”

YES."
fatspo,sourcedumal,https://sourcedumal.tumblr.com/post/146250489720/bigbeautifulblackgirls-would-my-life-be-better,99,"['video', 'fatspo', 'q']",0,17,
