tag,blog_name,post_url,num_likes,tags,num_replies,num_reblogs,content
i wanna be weightless,choppedpersonchaos,https://www.tumblr.com/blog/view/choppedpersonchaos/715406937474383872,1628903,"['4norex1a', 'ed bllog', 'i wanna be thinner', 'i wanna be weightless', 'th1n$po', 'i wanna be small']",0,31,"rockbottomwithashovel:
bylerbestie:
nickandcharliecomics:
thisboyisahomooooo:
bowling-bullfrog:typewrxter:
lauriehalseanderson:

youtubekillsme:

dendenmusume:

fuckyeahhyugiohyaoi:

stayfearless134:

You never know if someone needs this. Reblog this, even if its not your ‘blog type’. Just do it.

Yes, please reblog

Do it. Now.

i sat here and thought about reblogging this or not but then i realized how many people feel suicidal, and i  have too its not dan and phil but i could honestly care less, bc i rather have someone not die then make sure i strictly stay to my ‘blog type’ 

Blog type doesn’t matter. Caring for people does.

This isn’t my blog type but *deep inhale* 
SAVING SUICIDAL LIVES IS BETTER THAN KEEPING IT TO MY BLOG THEME SO DEAR YA’LL WHO ARE SUICIDAL I’M HERE SIS/BRO/SIBLING!! STAY STRONG!!

Fine I promise.
fine. ok.
please reblog
Ughhhh fine I promise
… thank you"
i wanna be weightless,choppedpersonchaos,https://www.tumblr.com/blog/view/choppedpersonchaos/714415626648764416,1377,"['4norex1a', 'ed bllog', 'i wanna be thinner', 'i wanna be weightless', 'th1n$po', 'i wanna be small']",0,17,deadlybonezs:rb if you hate your cw so fucking much or if you like cats
i wanna be weightless,choppedpersonchaos,https://www.tumblr.com/blog/view/choppedpersonchaos/714238287197405184,1155,"['4norex1a', 'ed bllog', 'i wanna be thinner', 'i wanna be weightless', 'th1n$po', 'i wanna be small']",0,26,"mushroomfairydream:lizxy-st4rv3s:cmaxxx3:rexie-lulaby:4n0r3x1cv4mp1r3:frag1lebeaut1:grubaas-natan2:tlustymotyl:mylovelyana0255:mldjxdawg-deactivated20221224::knif34lunch:sknnycalzsblog:Reblog to lose 5kgs  don’t skip if u skip u will gain 20kgsLol ik it’s stupid but I’m paranoid same tho, OCD says reblogczm w to wierze….manifesting no cóż moge rzec..haha ocd i w kvoelsorry but im paranoid💕this better work cuz ima end it all istgParanoia🤡Lepiej nie ryzykować Not taking any chances Oof, guess I gotta 🤪 
Please no, I have gained enough yesterday"
i wanna be weightless,choppedpersonchaos,https://www.tumblr.com/blog/view/choppedpersonchaos/714217799264894976,54612,"['4norex1a', 'ed bllog', 'i wanna be thinner', 'i wanna be weightless', 'th1n$po', 'i wanna be small', 'sweetsp0', 'meanspø', 'b0n3sp0', 'm34nsp0']",0,19,"d-ainty-b-ones:

Reblog if:
- You support recovery.
- You support those in recovery.
- You support seeking help.
- You want  people to seek help.
- You think everyone is beautiful, regardless of their weight.
- Even if you yourself, aren’t seeking help or are in recovery, want others too.
"
i wanna be weightless,choppedpersonchaos,https://www.tumblr.com/blog/view/choppedpersonchaos/714036384681377792,75534,"['4norex1a', 'ed bllog', 'i wanna be weightless', 'i wanna be small', 'i wanna be thinner', 'th1n$po', 'sweetsp0', 'meanspø', 'b0n3sp0', 'm34nsp0']",0,20,"heathertrash10-blog:
 Reblog ifIt’s 104% okay to come to your DM and just say, “Hi, can we be friends?” And then start asking you random questions."
i wanna be weightless,choppedpersonchaos,https://www.tumblr.com/blog/view/choppedpersonchaos/713958537827598336,11,"['4norex1a', 'ed bllog', 'i wanna be weightless', 'i wanna be small', 'i wanna be thinner', 'th1n$po']",0,1,"choppedpersonchaos:I’m hanging out with my sister and her friends and I’m so scared cuz my stomach is making so much noise. I hope no one hears it. 
Coffee always resolves every problems"
i wanna be weightless,1w4nn4b3sm0l,https://www.tumblr.com/blog/view/1w4nn4b3sm0l/715628500000931840,960,"['i wanna be thinner', 'ana trigger', 'ed vent', 'th1n$po', 'i want to be bones', 'ed but not sheeran', 'ed not ed sheeran', 'tw ana shit', 'i wanna be weightless', 'food restriction']",0,11,mrminsicedcoffee:Sora Choi♡.Keep going and maybe one day we’ll look just like her☆•°
i wanna be weightless,1w4nn4b3sm0l,https://www.tumblr.com/blog/view/1w4nn4b3sm0l/715379173717311488,95,"['ed but not sheeran', 'disordered eating thoughts', 'ana trigger', 'ed related', 'ed tings', 'i wanna be perfect', 'tw ana diary', '⭐️ving', 'i wanna be weightless', 'ana d!et']",0,8,"onlyblackcoffees:it’s not actual hunger, it’s a temporary cravingand you can get over it <3"
i wanna be weightless,1w4nn4b3sm0l,https://www.tumblr.com/blog/view/1w4nn4b3sm0l/715237061857312768,2082,"['motivation', 'weight loss', 'i want to be weightless', 'weightloss', 'tw ed diet', 'i want to be small', 'i wanna be thinner', 'th1nsp1r4t10n', 'tw disordered eating', 'i wanna be weightless', '4n4 tips']",0,8,"primswhiskeyy:need2bthin4himx:my motivations to lose weight!!so i wont compare myself as much to othersso i will be able to always fit cute, small clothesso i wont worry about my stomachso people will like me moreso if a boy ever likes me ill be small and dainty for himso people will be amazed at how small i amso people wont even believe i can weigh so littlelooking cute and thin in pretty dresses!!summer/warm weather!!so i can learn to love myselfso i can feel happyso i will look effortlessly good because of how small i will beso i can be guys’ crushesso people will admire meso people will talk to me moreso people will worry about meso i can be small and fragileso people might be jealousrevenge on the guy who played w me (bonus!)and also..so i can workout without hating itso i can be less hungryso i will have more self-controlso i will be more activeso i will look good in photos and videosI am determined to do this, even if I fail one day, I will get on track the next. I can do it "
i wanna be weightless,1w4nn4b3sm0l,https://www.tumblr.com/blog/view/1w4nn4b3sm0l/715206757803229184,276,"['i wanna be weightless', 'food restriction', 'st4rving', 'ana trigger', 'tw ana diary', 'ed but not sheeran', 'tw ed diet']",0,6,lhd-s:
